id,title,date,time,location,enroll_url,course_slug
5440,nan,,2020-05-06 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765394,
5570,nan,,2020-05-06 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765407,
5900,nan,,2020-05-06 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765440,
5580,nan,,2020-05-07 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765408,
6720,nan,,2020-05-07 09:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3797579,
6280,nan,,2020-05-07 10:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765478,
5910,nan,,2020-05-07 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765441,
6440,nan,,2020-05-07 11:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765494,
6680,nan,,2020-05-08 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3769587,
5410,nan,,2020-05-11 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765391,
5610,nan,,2020-05-11 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765411,
6030,nan,,2020-05-11 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765453,
5620,nan,,2020-05-12 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765412,
5980,nan,,2020-05-12 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765448,
6220,nan,,2020-05-12 10:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765472,
6380,nan,,2020-05-12 11:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765488,
5450,nan,,2020-05-13 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765395,
5600,nan,,2020-05-13 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765410,
5970,nan,,2020-05-13 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765447,
5590,nan,,2020-05-14 08:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765409,
5920,nan,,2020-05-14 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765442,
6270,nan,,2020-05-14 10:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765477,
6430,nan,,2020-05-14 11:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765493,
6690,nan,,2020-05-15 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3769588,
6800,nan,,2020-05-18 09:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3812908,
6870,nan,,2020-05-18 09:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3849488,
5630,nan,,2020-05-18 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765413,
6550,nan,,2020-05-18 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765505,
6790,nan,,2020-05-18 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3801165,
5640,nan,,2020-05-19 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765414,
6230,nan,,2020-05-19 10:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765473,
6810,nan,,2020-05-20 09:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3826958,
5460,nan,,2020-05-20 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765396,
6420,nan,,2020-05-21 11:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765492,
6620,nan,,2020-05-22 09:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765512,
6750,nan,,2020-05-23 12:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3801160,
5420,nan,,2020-05-27 09:00:00,B on the B,https://coastalcprtraining.enrollware.com/enroll?id=3765392,
6770,nan,,2020-05-27 09:00:00,B on the B,https://coastalcprtraining.enrollware.com/enroll?id=3801162,
6780,nan,,2020-05-27 10:00:00,B on the B,https://coastalcprtraining.enrollware.com/enroll?id=3801163,
6570,nan,,2020-05-27 17:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765507,
5670,nan,,2020-05-28 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765417,
6410,nan,,2020-05-28 13:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765491,
6760,nan,,2020-05-30 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3801161,
5710,nan,,2020-06-01 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765421,
5480,nan,,2020-06-01 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765398,
6040,nan,,2020-06-01 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765454,
5720,nan,,2020-06-02 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765422,
6290,nan,,2020-06-02 09:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765479,
6050,nan,,2020-06-02 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765455,
6450,nan,,2020-06-02 11:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765495,
5530,nan,,2020-06-03 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765403,
5730,nan,,2020-06-03 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765423,
6200,nan,,2020-06-03 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765470,
6580,nan,,2020-06-03 17:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765508,
5740,nan,,2020-06-04 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765424,
6180,nan,,2020-06-04 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765468,
6370,nan,,2020-06-04 10:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765487,
6530,nan,,2020-06-04 11:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765503,
6630,nan,,2020-06-05 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765513,
6880,nan,,2020-06-06 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3849506,
5810,nan,,2020-06-08 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765431,
5490,nan,,2020-06-08 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765399,
6060,nan,,2020-06-08 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765456,
6910,nan,,2020-06-08 17:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3866667,
5820,nan,,2020-06-09 09:00:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/Walmart.png"" style=""width: 40px;""></img>WM 1268: Whiteville, NC",https://coastalcprtraining.enrollware.com/enroll?id=3765432,
6070,nan,,2020-06-09 09:00:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/Walmart.png"" style=""width: 40px;""></img>WM 1268: Whiteville, NC",https://coastalcprtraining.enrollware.com/enroll?id=3765457,
6890,nan,,2020-06-09 09:30:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/Walmart.png"" style=""width: 40px;""></img>WM 1268: Whiteville, NC",https://coastalcprtraining.enrollware.com/enroll?id=3849521,
6900,nan,,2020-06-09 10:00:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/Walmart.png"" style=""width: 40px;""></img>WM 1268: Whiteville, NC",https://coastalcprtraining.enrollware.com/enroll?id=3849524,
6300,nan,,2020-06-09 10:30:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/Walmart.png"" style=""width: 40px;""></img>WM 1268: Whiteville, NC",https://coastalcprtraining.enrollware.com/enroll?id=3765480,
6460,nan,,2020-06-09 11:00:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/Walmart.png"" style=""width: 40px;""></img>WM 1268: Whiteville, NC",https://coastalcprtraining.enrollware.com/enroll?id=3765496,
6930,nan,,2020-06-09 17:30:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3871540,
6830,nan,,2020-06-10 09:00:00,B on the B,https://coastalcprtraining.enrollware.com/enroll?id=3830329,
6920,nan,,2020-06-10 09:30:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3867069,
6590,nan,,2020-06-10 17:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765509,
6190,nan,,2020-06-11 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765469,
6360,nan,,2020-06-11 10:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765486,
6520,nan,,2020-06-11 11:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765502,
5750,nan,,2020-06-11 17:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765425,
7840,nan,,2020-06-13 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3881395,
5500,nan,,2020-06-15 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765400,
6990,nan,,2020-06-15 17:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3880779,
7440,nan,,2020-06-16 09:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3881353,
5830,nan,,2020-06-16 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765433,
6090,nan,,2020-06-16 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765459,
9030,nan,,2020-06-16 11:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3883952,
6470,nan,,2020-06-16 11:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765497,
10060,nan,,2020-06-17 08:00:00,B on the B,https://coastalcprtraining.enrollware.com/enroll?id=3890212,
8980,nan,,2020-06-17 10:00:00,B on the B,https://coastalcprtraining.enrollware.com/enroll?id=3883377,
6600,nan,,2020-06-17 17:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765510,
9060,nan,,2020-06-18 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3883957,
7450,nan,,2020-06-18 09:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3881354,
6350,nan,,2020-06-18 09:30:00,Smokey Tony's,https://coastalcprtraining.enrollware.com/enroll?id=3765485,
6160,nan,,2020-06-18 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765466,
6510,nan,,2020-06-18 11:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765501,
6670,nan,,2020-06-19 07:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3769586,
8960,nan,,2020-06-19 09:00:00,Smokey Tony's,https://coastalcprtraining.enrollware.com/enroll?id=3883133,
8970,nan,,2020-06-19 17:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3883134,
7850,nan,,2020-06-20 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3881396,
6980,nan,,2020-06-22 09:30:00,Smokey Tony's,https://coastalcprtraining.enrollware.com/enroll?id=3877707,
