source_file,missing_link_count,unique_target_count,families,priorities
docs/classes/10275451.html,1,1,external,false_positive
docs/classes/10275626.html,1,1,external,false_positive
docs/classes/10284944.html,1,1,external,false_positive
docs/classes/10285289.html,1,1,external,false_positive
docs/classes/10293318.html,1,1,external,false_positive
docs/classes/10293332.html,1,1,external,false_positive
docs/classes/10293333.html,1,1,external,false_positive
docs/classes/10293334.html,1,1,external,false_positive
docs/classes/10293335.html,1,1,external,false_positive
docs/classes/10293336.html,1,1,external,false_positive
docs/classes/10293337.html,1,1,external,false_positive
docs/classes/10293338.html,1,1,external,false_positive
docs/classes/10293339.html,1,1,external,false_positive
docs/classes/10293340.html,1,1,external,false_positive
docs/classes/10293344.html,1,1,external,false_positive
docs/classes/10293345.html,1,1,external,false_positive
docs/classes/10293347.html,1,1,external,false_positive
docs/classes/10293348.html,1,1,external,false_positive
docs/classes/10293351.html,1,1,external,false_positive
docs/classes/10293352.html,1,1,external,false_positive
docs/classes/10293362.html,1,1,external,false_positive
docs/classes/10293364.html,1,1,external,false_positive
docs/classes/10293367.html,1,1,external,false_positive
docs/classes/10293368.html,1,1,external,false_positive
docs/classes/10293369.html,1,1,external,false_positive
docs/classes/10293371.html,1,1,external,false_positive
docs/classes/10293373.html,1,1,external,false_positive
docs/classes/10293374.html,1,1,external,false_positive
docs/classes/10293375.html,1,1,external,false_positive
docs/classes/10293376.html,1,1,external,false_positive
docs/classes/10293380.html,1,1,external,false_positive
docs/classes/10293383.html,1,1,external,false_positive
docs/classes/10293384.html,1,1,external,false_positive
docs/classes/10293385.html,1,1,external,false_positive
docs/classes/10293387.html,1,1,external,false_positive
docs/classes/10293388.html,1,1,external,false_positive
docs/classes/10293389.html,1,1,external,false_positive
docs/classes/10293392.html,1,1,external,false_positive
docs/classes/10293393.html,1,1,external,false_positive
docs/classes/10293396.html,1,1,external,false_positive
docs/classes/10293397.html,1,1,external,false_positive
docs/classes/10293398.html,1,1,external,false_positive
docs/classes/10293399.html,1,1,external,false_positive
docs/classes/10293401.html,1,1,external,false_positive
docs/classes/10293402.html,1,1,external,false_positive
docs/classes/10293403.html,1,1,external,false_positive
docs/classes/10293428.html,1,1,external,false_positive
docs/classes/10293430.html,1,1,external,false_positive
docs/classes/10293432.html,1,1,external,false_positive
docs/classes/10293433.html,1,1,external,false_positive
docs/classes/10293434.html,1,1,external,false_positive
docs/classes/10293435.html,1,1,external,false_positive
docs/classes/10293438.html,1,1,external,false_positive
docs/classes/10293439.html,1,1,external,false_positive
docs/classes/10293445.html,1,1,external,false_positive
docs/classes/10293446.html,1,1,external,false_positive
docs/classes/10293471.html,1,1,external,false_positive
docs/classes/10293473.html,1,1,external,false_positive
docs/classes/10293477.html,1,1,external,false_positive
docs/classes/10293478.html,1,1,external,false_positive
docs/classes/10293479.html,1,1,external,false_positive
docs/classes/10293480.html,1,1,external,false_positive
docs/classes/10293481.html,1,1,external,false_positive
docs/classes/10293482.html,1,1,external,false_positive
docs/classes/10293483.html,1,1,external,false_positive
docs/classes/10293490.html,1,1,external,false_positive
docs/classes/10293588.html,1,1,external,false_positive
docs/classes/10293589.html,1,1,external,false_positive
docs/classes/10293590.html,1,1,external,false_positive
docs/classes/10293591.html,1,1,external,false_positive
docs/classes/10293592.html,1,1,external,false_positive
docs/classes/10293593.html,1,1,external,false_positive
docs/classes/10293594.html,1,1,external,false_positive
docs/classes/10293595.html,1,1,external,false_positive
docs/classes/10293596.html,1,1,external,false_positive
docs/classes/10296431.html,1,1,external,false_positive
docs/classes/10304431.html,1,1,external,false_positive
docs/classes/10330290.html,1,1,external,false_positive
docs/classes/10336521.html,1,1,external,false_positive
docs/classes/10347802.html,1,1,external,false_positive
docs/classes/10360890.html,1,1,external,false_positive
docs/classes/10361314.html,1,1,external,false_positive
docs/classes/10365197.html,1,1,external,false_positive
docs/classes/10366532.html,1,1,external,false_positive
docs/classes/10366533.html,1,1,external,false_positive
docs/classes/10366534.html,1,1,external,false_positive
docs/classes/10366535.html,1,1,external,false_positive
docs/classes/10366536.html,1,1,external,false_positive
docs/classes/10366537.html,1,1,external,false_positive
docs/classes/10366538.html,1,1,external,false_positive
docs/classes/10370079.html,1,1,external,false_positive
docs/classes/10370084.html,1,1,external,false_positive
docs/classes/10370085.html,1,1,external,false_positive
