test_marker,computed_appointmentDayId,date,startTime,courseId,requested_course,public_selector_course,course_id_verified_on_public_selector,url,http_status,status,displayed_course,displayed_date_time,displayed_location,displayed_price,reject_reason,cleanup_needed
INVCTRL_PROBE_2027_11,261023,2027-06-09,7:23 PM,248287,ARC BLS Blended Learning,ARC BLS Blended Learning,True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=261023&startTime=7%3A23%20PM&courseId=248287,0,planned,,,,,,review
INVCTRL_PROBE_2027_12,261038,2027-06-24,8:58 PM,248288,ARC BLS,ARC BLS,True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=261038&startTime=8%3A58%20PM&courseId=248288,0,planned,,,,,,review
INVCTRL_PROBE_2027_13,261057,2027-07-13,8:17 AM,444919,ARC BLS Challenge,ARC BLS Challenge,True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=261057&startTime=8%3A17%20AM&courseId=444919,0,planned,,,,,,review
INVCTRL_PROBE_2027_14,261073,2027-07-29,9:43 AM,445670,HSI BLS and Adult First Aid | Blended Learning,HSI BLS and Adult First Aid | Blended Learning,True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=261073&startTime=9%3A43%20AM&courseId=445670,0,planned,,,,,,review
INVCTRL_PROBE_2027_15,261086,2027-08-11,10:26 AM,463743,HSI BLS Challenge,HSI BLS Challenge,True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=261086&startTime=10%3A26%20AM&courseId=463743,0,planned,,,,,,review
INVCTRL_PROBE_2027_16,261101,2027-08-26,11:52 AM,448630,HSI BLS Provider,HSI BLS Provider,True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=261101&startTime=11%3A52%20AM&courseId=448630,0,planned,,,,,,review
INVCTRL_PROBE_2027_17,261120,2027-09-14,12:37 PM,449422,HSI Pediatric First Aid | CPR AED - Blended,HSI Pediatric First Aid | CPR AED - Blended,True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=261120&startTime=12%3A37%20PM&courseId=449422,0,planned,,,,,,review
INVCTRL_PROBE_2027_18,261143,2027-10-07,1:14 PM,463119,2025 AHA Instructor Update,2025 AHA Instructor Update,True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=261143&startTime=1%3A14%20PM&courseId=463119,0,planned,,,,,,review
INVCTRL_PROBE_2027_19,261183,2027-11-16,2:41 PM,251545,AHA Heartsaver Pediatric First Aid CPR AED Online,AHA Heartsaver® Pediatric First Aid CPR AED Online,True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=261183&startTime=2%3A41%20PM&courseId=251545,0,planned,,,,,,review
INVCTRL_PROBE_2027_20,261218,2027-12-21,3:28 PM,351632,AHA Heartsaver Pediatric First Aid / CPR / AED,AHA Heartsaver® Pediatric First Aid / CPR / AED,True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=261218&startTime=3%3A28%20PM&courseId=351632,0,planned,,,,,,review
