stage,status,date,start_time,course_family,course_title,location,instructor,offer_id,seed_id,appointmentDayId,course_id,appointment_url,filter_reasons,source_window
dynamic_offer,generated,2026-08-01,02:30,Heartsaver,AHA Heartsaver First Aid CPR AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-209809-instructor_24057895173-20260801-0230,,,209809,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,02:30,Heartsaver,AHA Heartsaver First Aid CPR AED - Blended,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-329495-instructor_24057895173-20260801-0230,,,329495,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,02:30,Heartsaver,AHA Heartsaver Pediatric First Aid / CPR / AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-351632-instructor_24057895173-20260801-0230,,,351632,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,02:30,Heartsaver,AHA Heartsaver Pediatric First Aid CPR AED Online,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-251545-instructor_24057895173-20260801-0230,,,251545,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,02:30,USCG,USCG Elementary First Aid | CPR (AHA Heartsaver),NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-253768-instructor_24057895173-20260801-0230,,,253768,,course_family_disabled;course_id_not_enabled;course_family_not_enabled;outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,02:45,Heartsaver,AHA Heartsaver CPR AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-344085-instructor_24057895173-20260801-0245,,,344085,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,02:45,Heartsaver,AHA Heartsaver CPR AED Online,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-209808-instructor_24057895173-20260801-0245,,,209808,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,02:45,Heartsaver,AHA Heartsaver First Aid CPR AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-209809-instructor_24057895173-20260801-0245,,,209809,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,02:45,Heartsaver,AHA Heartsaver First Aid CPR AED - Blended,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-329495-instructor_24057895173-20260801-0245,,,329495,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,02:45,Heartsaver,AHA Heartsaver Pediatric First Aid / CPR / AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-351632-instructor_24057895173-20260801-0245,,,351632,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
