course_key,enrollware_course_id,enrollware_name,public_short_title,public_long_title,course_family,course_family_type,provider,discipline,format,status,classroom_duration_minutes,skills_duration_minutes,scheduler_display_duration_minutes,setup_buffer_minutes,cleanup_buffer_minutes,scheduler_consumption_minutes,minimum_lead_time_hours,maximum_lookahead_days,dynamic_offer_allowed,appointment_seed_allowed,review_needed_for_scheduling,public_visibility,slug_page,hub_tab,cta_text,review_needed_for_rendering,base_price,shipping_price,add_ons,card_type,secondary_card_type,ecard_code,keycode_bank,review_needed_for_pricing_or_cards,allowed_instructor_ids,allowed_location_ids,max_students_default,min_students_default,required_equipment,room_requirements,data_quality_status,missing_required_fields,source_files,used_by_public_sellable_dynamic_offer,public_sellable_offer_ids,brian_review_notes
aha_family_friends_cpr,252737,AHA Family & Friends CPR,AHA Family & Friends CPR,AHA Family & Friends CPR,Heartsaver,Family & Friends CPR,AHA,unknown,IP,active,120,,120,,,,24,180,false,false,true,active_public,unknown,,Check this date/time,true,,,,unknown,not_applicable,unknown,unknown,true,AHA_BLS_INSTRUCTOR,,10,1,UNKNOWN,,needs_review,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/inventory/course_consumption_rules.json,false,,
aha_heartsaver_cpr_aed,344085,AHA - Heartsaver® CPR AED - In-person,AHA Heartsaver CPR AED,AHA Heartsaver CPR AED,Heartsaver,CPR + AED,AHA,AHA Heartsaver,IP,active,90,,90,,,,24,180,false,false,true,active_public,docs/heartsaver.html,hs-cpr-aed-bl; hs-cpr-aed-ip,Check this date/time,false,70.0,0.0,MANUAL: OTHER SOURCE; MANUAL: AHA BOOKSTORE,Heartsaver CPR AED,not_applicable,25-3004,unknown,true,AHA_BLS_INSTRUCTOR,,10,1,UNKNOWN,,needs_review,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes,data/config/course_catalog.json; data/config/course_map.json; data/raw/course-export.xlsx; data/inventory/course_consumption_rules.json; data/config/slug_hubs.json,false,,
aha_heartsaver_cpr_aed_online,209808,AHA Heartsaver CPR AED Online,AHA Heartsaver CPR AED Online,AHA Heartsaver CPR AED Online,Heartsaver,CPR + AED,AHA,unknown,BL,active,45,45,45,,,,24,180,false,false,true,active_public,docs/heartsaver.html,hs-cpr-aed-bl,Check this date/time,false,,,,unknown,not_applicable,unknown,unknown,true,AHA_BLS_INSTRUCTOR,,2,1,UNKNOWN,,needs_review,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json; data/config/slug_hubs.json,false,,
aha_heartsaver_first_aid_cpr_aed,209809,AHA Heartsaver First Aid CPR AED,AHA Heartsaver First Aid CPR AED,AHA Heartsaver First Aid CPR AED,Heartsaver,First Aid + CPR + AED,AHA,unknown,IP,active,180,,180,,,,24,180,false,false,true,active_public,docs/heartsaver.html,group-heartsaver; hs-fa-cpr-aed-ip,Check this date/time,false,,,,unknown,not_applicable,unknown,unknown,true,AHA_BLS_INSTRUCTOR,,12,1,UNKNOWN,,needs_review,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json; data/config/slug_hubs.json,false,,
aha_heartsaver_first_aid_cpr_aed_blended,329495,AHA Heartsaver First Aid CPR AED - Blended,AHA Heartsaver First Aid CPR AED - Blended,AHA Heartsaver First Aid CPR AED - Blended,Heartsaver,First Aid + CPR + AED,AHA,unknown,BL,active,45,45,45,,,,24,180,false,false,true,active_public,docs/heartsaver.html,group-heartsaver; hs-fa-cpr-aed-bl,Check this date/time,false,,,,unknown,not_applicable,unknown,unknown,true,AHA_BLS_INSTRUCTOR,,2,1,UNKNOWN,,needs_review,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json; data/config/slug_hubs.json,false,,
aha_heartsaver_pediatric_first_aid_cpr_aed_in_person,351632,AHA Heartsaver Pediatric First Aid / CPR / AED,AHA Heartsaver Pediatric First Aid / CPR / AED,AHA Heartsaver Pediatric First Aid / CPR / AED,Heartsaver,Pediatric First Aid,AHA,unknown,IP,active,180,,180,,,,24,180,false,false,true,active_public,docs/heartsaver.html,hs-pediatric-ip,Check this date/time,false,,,,unknown,not_applicable,unknown,unknown,true,AHA_BLS_INSTRUCTOR,,12,1,UNKNOWN,,needs_review,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json; data/config/slug_hubs.json,false,,
aha_heartsaver_pediatric_first_aid_cpr_aed_online,251545,AHA Heartsaver Pediatric First Aid CPR AED Online,AHA Heartsaver Pediatric First Aid CPR AED Online,AHA Heartsaver Pediatric First Aid CPR AED Online,Heartsaver,Pediatric First Aid,AHA,unknown,BL,active,45,45,45,,,,24,180,false,false,true,active_public,docs/heartsaver.html,hs-pediatric-bl,Check this date/time,false,,,,unknown,not_applicable,unknown,unknown,true,AHA_BLS_INSTRUCTOR,,2,1,UNKNOWN,,needs_review,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json; data/config/slug_hubs.json,false,,
aha_pals_heartcode,209812,AHA PALS HeartCode,AHA PALS HeartCode,AHA PALS HeartCode,PALS,HeartCode,AHA,unknown,BL,active,90,90,90,,,,24,180,false,false,true,active_public,docs/pals.html,group-pals; pals-heartcode,Check this date/time,false,,,,unknown,not_applicable,unknown,unknown,true,AHA_PALS_INSTRUCTOR,,1,1,UNKNOWN,,needs_review,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json; data/config/slug_hubs.json,false,,
aha_pals_provider,209805,AHA PALS Provider,AHA PALS Provider,AHA PALS Provider,PALS,Provider Initial,AHA,unknown,IP,active,240,,240,,,,24,180,false,false,true,active_public,docs/pals.html,group-pals; pals-provider,Check this date/time,false,,,,unknown,not_applicable,unknown,unknown,true,AHA_PALS_INSTRUCTOR,,6,1,UNKNOWN,,needs_review,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json; data/config/slug_hubs.json,false,,
aha_pals_renewal,251496,AHA PALS Renewal,AHA PALS Renewal,AHA PALS Renewal,PALS,Renewal,AHA,unknown,IP,active,240,,240,,,,24,180,false,false,true,active_public,docs/pals.html,group-pals; pals-renewal,Check this date/time,false,,,,unknown,not_applicable,unknown,unknown,true,AHA_PALS_INSTRUCTOR,,6,1,UNKNOWN,,needs_review,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json; data/config/slug_hubs.json,false,,
UNKNOWN,253768,USCG Elementary First Aid | CPR (AHA Heartsaver),USCG Elementary First Aid | CPR,USCG Elementary First Aid | CPR (AHA Heartsaver),USCG,Elementary First Aid | CPR,USCG/AHA,unknown,ILT,active,180,,180,,,,24,180,false,false,true,active_public,unknown,,Check this date/time,true,,,,unknown,not_applicable,unknown,unknown,true,AHA_BLS_INSTRUCTOR,,10,1,UNKNOWN,,needs_review,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json,false,,
UNKNOWN,359827,USCG Elementary First Aid | CPR - Blended,USCG Elementary First Aid | CPR (Blended),USCG Elementary First Aid | CPR - Blended,USCG,Elementary First Aid | CPR,USCG/AHA,unknown,BL,active,45,45,45,,,,24,180,false,false,true,active_public,unknown,,Check this date/time,true,,,,unknown,not_applicable,unknown,unknown,true,AHA_BLS_INSTRUCTOR,,10,1,UNKNOWN,,needs_review,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json,false,,
